iter	RMSE
0	0.08562463548
1	0.081771075
2	0.07831843296
3	0.07539481759
4	0.07292796127
5	0.07073966664
6	0.06883682091
7	0.06725409105
8	0.06605333403
9	0.06501492083
10	0.06413555584
11	0.06236679802
12	0.06082273902
13	0.05959678207
14	0.05844670261
15	0.05754432665
16	0.05679178113
17	0.05608352493
18	0.05525750895
19	0.05456333457
20	0.05405745969
21	0.0536763796
22	0.05324532638
23	0.05293280871
24	0.05262066612
25	0.05235554254
26	0.05213642255
27	0.0519054145
28	0.0517046023
29	0.05148783055
30	0.0513583771
31	0.05112967072
32	0.05096546461
33	0.05087595701
34	0.05072910214
35	0.05055869916
36	0.05040995735
37	0.05034486615
38	0.05024913455
39	0.05018123702
40	0.05008926431
41	0.05004774767
42	0.04999783453
43	0.04996149916
44	0.04985743194
45	0.04978241589
46	0.04969918944
47	0.0496758424
48	0.04963332242
49	0.04959946009
50	0.04953795125
51	0.04952826579
52	0.0495095965
53	0.04948441178
54	0.04946748663
55	0.04940932764
56	0.04933798143
57	0.04932276365
58	0.04925159414
59	0.04923483425
60	0.04922814076
61	0.04920689935
62	0.04919071284
63	0.04915766735
64	0.04913591966
65	0.04912733349
66	0.04908848906
67	0.04906183138
68	0.04903165618
69	0.04901867183
70	0.04899379472
71	0.04893721827
72	0.04891985148
73	0.0488885153
74	0.04887533032
75	0.04884641534
76	0.04880787929
77	0.04878723129
78	0.04876109047
79	0.04875670896
80	0.04874528447
81	0.04871136664
82	0.04868958635
83	0.04866149008
84	0.04863948661
85	0.04861524113
86	0.04860670773
87	0.04859161078
88	0.04858069539
89	0.04855191488
90	0.04852812292
91	0.04851557949
92	0.04848580167
93	0.04844598823
94	0.04840075372
95	0.04838592014
96	0.04836053263
97	0.04834776562
98	0.04832368165
99	0.04829009544
100	0.04827084847
101	0.04823991904
102	0.04823234625
103	0.04822562756
104	0.04821001708
105	0.04817531526
106	0.04816348815
107	0.04815618282
108	0.04812550872
109	0.04811505714
110	0.04811005421
111	0.04809201475
112	0.04807019336
113	0.04806598042
114	0.04805142399
115	0.04804590346
116	0.04803468186
117	0.04801577052
118	0.04800849
119	0.04799404465
120	0.04797619086
121	0.04797074777
122	0.04795370927
123	0.04794430156
124	0.04793301002
125	0.04791167645
126	0.04790724227
127	0.047904642
128	0.0478839997
129	0.04786856419
130	0.04785656457
131	0.04780731826
132	0.04779046757
133	0.04777437245
134	0.04776173602
135	0.04772160781
136	0.04771241065
137	0.04770543582
138	0.0476964076
139	0.04768816287
140	0.04767682343
141	0.04767351757
142	0.04764064881
143	0.04763174962
144	0.0476203039
145	0.04761151511
146	0.0475966526
147	0.04759262521
148	0.04758585634
149	0.04757217391
150	0.04756599282
151	0.04755861472
152	0.04755121856
153	0.04753885144
154	0.04752567579
155	0.04752023241
156	0.04750304169
157	0.04747932747
158	0.04747362628
159	0.04746576171
160	0.04745273826
161	0.04744391056
162	0.04743708345
163	0.04742674025
164	0.04742154723
165	0.04740825862
166	0.04739694397
167	0.04738971449
168	0.04738143929
169	0.04737162257
170	0.04736808324
171	0.04734735865
172	0.04734086888
173	0.0473369559
174	0.04732380669
175	0.0473213537
176	0.04731265462
177	0.04730108889
178	0.04729015194
179	0.04728478057
180	0.04728199234
181	0.04727021719
182	0.04726176504
183	0.04725212509
184	0.0472392704
185	0.04723448981
186	0.04722073269
187	0.04721138145
188	0.04719353215
189	0.04718795427
190	0.04717443777
191	0.04716317578
192	0.04716065268
193	0.04715025236
194	0.04714908575
195	0.04713158392
196	0.04712949442
197	0.04712240975
198	0.04711077303
199	0.04709985355
